RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
2017-06-01 00:03:25,1,B46,WASHINGTON PLZ/LANE3,40.709393,-73.959518,KINGS PLAZA via UTICA,40.609142,-73.92144,NYCT_4963,40.662665,-73.931546,UTICA AV/MIDWOOD ST,< 1 stop away,177,2017-06-01 00:04:03,24:00:44
2017-06-01 00:03:35,0,B46,FLATBUSH AV/KINGS PLAZA,40.609566,-73.921814,BRIDGE PLZ via UTICA,40.709404,-73.959564,NYCT_4603,40.709424,-73.959604,WASHINGTON PLZ/LANE3,at stop,3,2017-06-01 00:03:56,23:53:00
2017-06-01 00:03:24,1,X10,E 57 ST/3 AV,40.760429,-73.967674,PT RICHMOND via NARROWS RD via GANNON AV,40.633698,-74.129776,NYCT_2660,40.761108,-73.969562,E 57 ST/LEXINGTON AV,at stop,0,NA,23:51:05
2017-06-01 00:03:38,0,Bx6,RIVERSIDE DR/157-10 RIVERSIDE DR,40.836311,-73.948433,HUNTS POINT,40.810085,-73.876396,NYCT_275,40.829089,-73.937099,macombs/bridge ap,< 1 stop away,707,2017-06-01 00:06:02,24:04:11
2017-06-01 00:03:54,1,M102,W 146 ST/MALCOLM X BL,40.821152,-73.935974,96 ST,40.785183,-73.951454,NYCT_5545,40.806462,-73.946543,MALCOLM X BL/W 122 ST,approaching,113,2017-06-01 00:04:24,23:57:48
2017-06-01 00:03:25,0,B35,39 ST/1 AV,40.656456,-74.012245,BROWNSVILLE M GASTON BL via CHURCH,40.656345,-73.907188,NYCT_478,40.652536,-73.923647,CHURCH AV/KINGS HY,approaching,114,2017-06-01 00:04:15,24:03:00
2017-06-01 00:03:54,0,M104,W 41 ST/8 AV,40.75655,-73.99012,W HARLEM 129 ST via BWAY,40.814907,-73.955048,NYCT_3853,40.759389,-73.988223,8 AV/W 46 ST,at stop,9,2017-06-01 00:03:57,24:01:21
2017-06-01 00:03:42,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4989,40.666288,-73.883834,ASHFORD ST/NEW LOTS AV,< 1 stop away,158,2017-06-01 00:03:56,24:04:27
2017-06-01 00:03:37,1,Q1,BRADDOCK AV/CROSS ISLAND PY,40.725647,-73.725151,JAMAICA 165 ST TERM,40.707615,-73.79554,NYCT_6873,40.725634,-73.725051,AMBOY LA/SPRINGFIELD BL,0.9 miles away,1457,2017-06-01 00:06:34,24:00:00
2017-06-01 00:03:33,1,Bx1,RIVERDALE AV/W 231 ST,40.881187,-73.90934,MOTT HAVEN 136 ST via CONCOURSE,40.809654,-73.92836,NYCT_4751,40.826378,-73.922994,GRAND CONCOURSE/E 161 ST,at stop,14,2017-06-01 00:03:56,23:55:44
2017-06-01 00:03:37,1,Bx35,W FARMS RD/WESTCHESTER AV,40.824986,-73.891502,WASHINGTON HTS GW BRIDGE,40.848942,-73.936783,NYCT_707,40.833272,-73.91407,E 167 ST/GRAND CONCOURSE,< 1 stop away,307,2017-06-01 00:05:17,24:02:00
2017-06-01 00:03:25,0,B15,MARCUS GARVEY BL/BROADWAY,40.699722,-73.941513,JFK AIRPORT,40.646908,-73.779564,NYCT_7105,40.676254,-73.938471,DEAN ST/ALBANY AV,at stop,12,2017-06-01 00:03:56,23:57:06
2017-06-01 00:03:35,1,S53,4 AV/86 ST,40.622311,-74.028687,PT RICHMOND,40.640297,-74.131332,NYCT_7088,40.64003,-74.131797,RICHMOND TER/PARK AV #1,approaching,57,2017-06-01 00:03:56,24:02:00
2017-06-01 00:03:50,0,M23-SBS,12 AV/W 23 ST,40.748718,-74.00811,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,40.733006,-73.974594,NYCT_5930,40.748865,-74.006943,W 23 ST/11 AV,approaching,36,2017-06-01 00:04:07,24:01:22
2017-06-01 00:03:42,1,B24,GREENPOINT AV/MANHATTAN AV,40.730103,-73.954445,WILLIAMSBURG BRIDGE PLZ,40.709282,-73.959717,NYCT_4429,40.723633,-73.938811,MEEKER AV/KINGSLAND AV,< 1 stop away,224,2017-06-01 00:05:14,24:06:35
